category,productImage,productUrl,productPrice,productOrigin,productName
Office Products,http://ecx.images-amazon.com/images/I/51lnRUq7ZrL._SY300_.jpg,http://www.amazon.com/Sharpie-Point-Permanent-Markers-30001/dp/B00006IFHD,$6.50,,"Sharpie Fine Point Permanent Markers, 12 Pack, Black (30001)"
Office Products,http://ecx.images-amazon.com/images/I/51IR8usI8fL._SY300_.jpg,http://www.amazon.com/BIC-Round-Medium-60-Count-GSM609/dp/B0012YVGOW,$5.27,,"BIC Round Stic Xtra Life Ball Pen, Medium Point (1.0 mm), Black, 60-Count (GSM609)"
Office Products,http://ecx.images-amazon.com/images/I/31M5LEQyyDL._SY300_.jpg,http://www.amazon.com/Smead-Manila-Folder-Letter-10330/dp/B00006IF1B,$8.89,,"Smead Manila File Folder, 1/3-Cut Tab, Letter Size, Manila, 100 per Box (10330)"
Office Products,http://ecx.images-amazon.com/images/I/51ExOQ-TxRL._SY300_.jpg,http://www.amazon.com/Brother-Laminated-Black-White-TZe2312PK/dp/B0013CED4I,$18.95,,Brother Laminated Black On White Tape 2Pack (TZe2312PK)
Office Products,http://ecx.images-amazon.com/images/I/41MGmvyaZtL._SY300_.jpg,http://www.amazon.com/Swingline-Standard-Stapler-Version-S7054501/dp/B00006IFKU,$6.55,,"Swingline Standard Stapler, Eco Version, 15 Sheets, Black (S7054501)"
Office Products,http://ecx.images-amazon.com/images/I/51IFNefJbfL._SY300_.jpg,http://www.amazon.com/Scotch-Lasting-Storage-Packaging-3650-4/dp/B00007L6C1,$9.89,,"Scotch Long Lasting Moving & Storage Packaging Tape, 1.88 Inches x 54.6 Yards, 4 Rolls (3650-4)"
Music,,http://www.amazon.com/Home-For-Holidays-Darius-Rucker/dp/B00NMUCMAG,,,
Music,,http://www.amazon.com/My-Dream-Duets-Barry-Manilow/dp/B00MIA0MHQ,,,
Music,,http://www.amazon.com/Melody-Road-Neil-Diamond/dp/B00N1W3O1G,,,
Music,,http://www.amazon.com/Man-Against-Machine-Garth-Brooks/dp/B00O0MBJPO,,,
Music,,http://www.amazon.com/Thats-Christmas-To-Me-Pentatonix/dp/B00NEJ7MMI,,,
Music,,http://www.amazon.com/Storytone-Standard-Solo-2-CD-Set/dp/B00O5HX3ZS,,,
Music,,http://www.amazon.com/Holiday-Wishes-Idina-Menzel/dp/B00NB81XS6,,,
Music,,http://www.amazon.com/Southbound-The-Doobie-Brothers/dp/B00M58FR2G,,,
Music,,http://www.amazon.com/Cheek-Deluxe-Lady-Gaga/dp/B00MU79IL8,,,
Music,,http://www.amazon.com/The-Basement-Tapes-Complete-Bootleg/dp/B00MXILU3S,,,
Music,,http://www.amazon.com/Disneys-Karaoke-Series-Frozen-Disney/dp/B00IKM5N02,,,
Music,,http://www.amazon.com/Beyonce-Platinum-Edition/dp/B00O87J9NU,,,
